"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
1.25,4,276,0.503187219468471,1.16630872087887,1.83376147255816,0.636019863178731,92.8360051647975,0
1.25,5,316,0.39291606120723,1.04821033432508,1.38749755263776,0.755468240165423,4.39475406808049,0
1.25,6,310,0.527343874890802,1.23683966887307,1.87004111447763,0.66139704592461,62.8354055720048,0
1.25,7,196,0.475886344163053,0.501827233059941,0.968584210283389,0.518103875462844,175.15215032607,0
1.25,8,313,0.505306732629989,1.3595031246037,2.00791586386804,0.677071758367784,60.2876518898441,0
1.25,9,343,0.460387014276206,1.10521504717102,1.51026525297298,0.731801943397284,1.95431068681012,0
1.25,10,262,0.398754197322755,1.04144304121619,1.48689971757619,0.700412427889794,95.2098573130023,0
1.25,11,194,0.492198859141299,0.833145212466767,1.68315545537578,0.494990055615961,165.399481963108,0
1.25,12,278,0.643976896949138,1.01753632408104,1.89624567304926,0.53660574605019,135.436549371494,0
1.25,13,299,0.406605641507751,1.04393032966866,1.40505874985611,0.742979843209808,68.03335155806,0
1.25,14,357,0.534758762771121,1.02626496268138,1.46287609195537,0.70153922695504,29.8350739117433,0
1.25,15,255,0.59407217402517,0.735002658364502,1.37419945564307,0.534858790218737,152.057078987561,0
1.25,16,380,0.554317832901666,1.22174913433498,1.71855199939462,0.710917757952832,-17.060137061002,0
1.25,17,269,0.420948577483767,1.79762906352888,2.61636830927535,0.687070339889097,32.0670926753311,0
1.25,18,310,0.572654994403157,1.34553886160746,2.13027232783165,0.631627629964592,62.1661149192997,0
1.25,19,333,0.571978422424064,1.27765109256889,1.94576653697321,0.656631239303957,-5.56960921829972,0
1.25,20,328,0.59025640481723,1.25441614776862,1.94845747921811,0.643799601042359,52.9467151761332,0
1.25,21,302,0.594041775277158,1.14075086103073,1.87742630318497,0.607614189220365,100.923706377292,0
1.25,22,304,0.648426538267154,1.06323291351123,1.85249452691516,0.57394658826969,109.446298827332,0
1.25,23,242,0.429525182181781,0.73052838044502,1.13138937726111,0.645691390715986,141.425811427888,0
1.25,24,276,0.489640781843426,0.637072456986214,0.982924450410678,0.648139800286825,142.20158053701,0
1.25,25,342,0.641412466247512,1.24832251248119,1.99738785148217,0.62497752329617,55.0034386911691,0
1.25,26,244,0.479336349085595,0.985499169794199,1.61558684979914,0.609994547750076,134.706719944552,0
1.25,27,325,0.600089425157422,0.880896490375689,1.39335236774386,0.632213724803905,96.8454764633498,0
1.25,28,238,0.496622843519888,1.53724795102215,2.63367207618944,0.583689960842179,104.242775597349,0
1.25,29,257,0.544570115930279,1.02160895734561,1.76945426849998,0.577358214638493,140.953874395449,0
1.25,30,205,0.328936957135454,0.579117117894762,0.803264635982367,0.720954330556978,125.783795175051,0
1.5,1,293,0.470150995518884,1.48362357922921,2.18506289050702,0.67898438332132,42.2124771824477,0
1.5,2,351,0.603483667935565,2.11911534684651,3.22955763118899,0.65616272841254,-39.9996580246254,0
1.5,3,316,0.456566409014733,1.70957898820158,2.40438452597394,0.711025615800403,-21.8053202369912,0
1.5,4,523,0.556283595391516,2.12776878171049,2.7011737687026,0.787720066870217,-357.49811458168,0
1.5,5,476,0.527625280806539,1.83172880062993,2.34962256041257,0.779584275147705,-216.178595927157,0
1.5,6,490,0.478445397101226,2.01527503479087,2.49939409892791,0.806305430446244,-460.526564958416,0
1.5,7,373,0.458082758128309,1.19702587703421,1.58296477767898,0.756192363793053,19.7074664089718,0
1.5,8,422,0.527794751576429,2.06068379614367,2.73065911182728,0.754647032732226,-140.629262061923,0
1.5,9,311,0.42780148094926,2.38833896811196,3.28397798588982,0.727270090839183,-28.9032274393676,0
1.5,10,292,0.440491387770642,1.23005813712151,1.76150629594892,0.698299029614813,75.1266059437464,0
1.5,11,317,0.547379064517555,1.47872186327304,2.25772369130097,0.65496139716767,45.8872241948176,0
1.5,12,376,0.500614125336709,1.49793671983129,2.04147807572336,0.733751068720405,-23.5806187538945,0
1.5,13,327,0.497667004144453,1.06037243958272,1.51994758794992,0.697637502759512,46.9063071930016,0
1.5,14,538,0.54146559691199,1.89711604900318,2.37428476589162,0.799026332585151,-391.642899260495,0
1.5,15,357,0.501448089823653,1.45174678137949,2.01664889960032,0.719880779280525,-10.296141066322,0
1.5,16,465,0.464818409192091,2.3619157846967,2.95212200270748,0.800073907016893,-295.357454749487,0
1.5,17,294,0.39235789880845,1.49252243464955,2.03349337225281,0.733969657838648,7.81011340676952,0
1.5,18,268,0.463013930379531,1.00995378388638,1.53831679328237,0.656531728897924,114.975557371154,0
1.5,19,396,0.480789372057377,1.97312049403953,2.59997198915582,0.758900673649248,-153.94657611117,0
1.5,20,227,0.457450651432784,1.28809979015958,2.15756592117483,0.597015264988143,125.104313688355,0
1.5,21,370,0.611996364743262,1.29712930927926,1.93819061194724,0.669247545253598,1.53503412214792,0
1.5,22,364,0.548726069720156,1.35640605260753,1.94191910022612,0.698487415077998,11.969862513509,0
