"scenario","rep_id","mu0_true","mu1_true","alpha_true","beta_true","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
"no_covariate",85,-0.5,0,0.7,2.5,258,2,-0.440357535163376,-0.100643447105204,0.742702899505704,1.99359876679015,-222.050983071687,-222.441318794259,-248.074270876316,0.780671445143753,0.376935866646488,52.0465756092585,5.41996671474557e-13,0,0,0
"no_covariate",86,-0.5,0,0.7,2.5,204,2,-0.345016666914929,0.0497993510669028,0.519168917246465,3.78459284143754,-240.543144939919,-240.666197588088,-245.412031026546,0.24610529633884,0.619830908383166,9.73777217325318,0.00180519555198115,0,0,0
"no_covariate",87,-0.5,0,0.7,2.5,198,2,-0.500521344750548,0.0043861452424454,0.507052353868307,2.18027301886481,-236.334283959555,-236.335010721714,-244.172343390544,0.00145352431843548,0.969587927777068,15.6761188619781,7.5167285117378e-05,0,0,0
"no_covariate",88,-0.5,0,0.7,2.5,178,2,-0.54883035412773,0.0461765361787465,0.865121212729804,4.72204332905601,-228.866899222179,-228.951578553931,-238.383885620248,0.16935866350434,0.680682413722136,19.0339727961379,1.28411758546517e-05,0,0,0
"no_covariate",89,-0.5,0,0.7,2.5,196,2,-0.738595067921642,-0.0269771428524417,0.757919290525238,1.95246684149921,-219.238233423697,-219.257981708623,-243.316001773691,0.0394965698527585,0.842468135669698,48.1555366999893,3.93715656168125e-12,0,0,0
"no_covariate",90,-0.5,0,0.7,2.5,217,2,-0.451033135352857,0.128424067382225,0.745216965105095,2.94577268623144,-233.321893162337,-234.020124594727,-247.248196519226,1.39646286478109,0.237316701230187,27.8526067137781,1.30917568210528e-07,0,0,0
"no_covariate",91,-0.5,0,0.7,2.5,197,1,-0.493846720488859,-0.0554338735988243,0.724641923514078,3.26061223365848,-233.159139436541,-233.26892153881,-243.903257969912,0.219564204538869,0.639372173422437,21.4882370667421,3.56005761328191e-06,0,0,0
"no_covariate",92,-0.5,0,0.7,2.5,193,2,-0.528763829300201,-0.0325296926494065,0.721212861137354,3.11655832392328,-230.702121961295,-230.738990015728,-242.683436563167,0.0737361088660577,0.785972712994724,23.9626292037426,9.8223850902274e-07,0,0,0
"no_covariate",93,-0.5,0,0.7,2.5,205,2,-0.504158172005505,-0.00712435018169651,0.881428644887811,3.39719540346837,-231.409896332177,-231.411583117409,-245.59751348358,0.00337357046430498,0.953682957321286,28.3752343028067,9.99356093846039e-08,0,0,0
"no_covariate",94,-0.5,0,0.7,2.5,229,2,-0.404467786265634,0.0790516551820075,0.533826678792102,1.97793702745813,-235.886451038637,-236.161534053124,-248.619449177026,0.55016602897399,0.45824986272611,25.4659962767777,4.50248922445178e-07,0,0,0
