"rep","case","n_events","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
34,"td_baseline_positive_control",408,0.6,0.705876665216528,1.5,1.84168278294619,0.4,0.383278093140078,-493.333143539966,-415.152111364198,156.362064351537,0,FALSE
35,"td_baseline_negative_control",242,0,8.71992982001148e-11,1.5,31099783.6937146,0,2.8038554563239e-18,-406.615958917144,-406.615958917144,0,0,FALSE
35,"td_baseline_positive_control",483,0.6,0.623601321785782,1.5,1.29107908449591,0.4,0.483007841482662,-556.465975979468,-416.220072219462,280.491807520012,0,FALSE
36,"td_baseline_negative_control",233,0,6.19307412431747e-10,1.5,557781.057157374,0,1.11030556610856e-15,-396.790521203543,-396.790521203543,-4.54747350886464e-13,0,FALSE
36,"td_baseline_positive_control",454,0.6,0.59304340463439,1.5,1.34114170447708,0.4,0.442192948481622,-520.659167118005,-410.12447104317,221.06939214967,0,FALSE
37,"td_baseline_negative_control",268,0,0.00716311831481857,1.5,0.108467882603059,0,0.0660390720544639,-411.978344301667,-411.278733742023,1.39922111928854,0,FALSE
37,"td_baseline_positive_control",356,0.6,0.64974769276407,1.5,2.12054121348467,0.4,0.306406538402686,-465.527927167096,-419.501895052532,92.0520642291293,0,FALSE
38,"td_baseline_negative_control",236,0,0.0548685085832065,1.5,20.7452596995926,0,0.00264486968964211,-399.249098658378,-399.233342049086,0.0315132185833136,0,FALSE
38,"td_baseline_positive_control",489,0.6,0.652518444180071,1.5,1.38914661312242,0.4,0.469726116751196,-542.875700630871,-402.458592722475,280.834215816791,0,FALSE
39,"td_baseline_negative_control",228,0,9.13781477485459e-06,1.5,6656.97286389764,0,1.37266817240778e-09,-387.865697208076,-387.865696533813,1.34852632527327e-06,0,FALSE
39,"td_baseline_positive_control",407,0.6,0.647938997996474,1.5,1.58866898335352,0.4,0.407850222284029,-495.724292542402,-403.559111118554,184.330362847696,0,FALSE
40,"td_baseline_negative_control",266,0,0.00896507648182719,1.5,0.117636434132617,0,0.0762100326138789,-418.048815818239,-417.122398931948,1.85283377258122,0,FALSE
40,"td_baseline_positive_control",355,0.6,0.671331829635931,1.5,2.08450131145216,0.4,0.322058722605577,-475.233015313758,-422.451563940103,105.562902747309,0,FALSE
41,"td_baseline_negative_control",263,0,0.747021307830847,1.5,13.9095857712891,0,0.0537055035364733,-406.368116764135,-401.777562178775,9.18110917071988,0,FALSE
41,"td_baseline_positive_control",372,0.6,0.399508196065331,1.5,1.13320821772862,0.4,0.352546151550238,-477.14336926204,-423.665166151262,106.956406221556,0,FALSE
42,"td_baseline_negative_control",259,0,0.0074745298132995,1.5,0.655083191211384,0,0.0114100467140327,-407.358984502756,-407.331407054818,0.055154895875603,0,FALSE
42,"td_baseline_positive_control",404,0.6,0.785729910237769,1.5,1.89974545121953,0.4,0.4135974689311,-513.052784902431,-410.476523720963,205.152522362936,0,FALSE
43,"td_baseline_negative_control",266,0,0.00214600041493199,1.5,0.0299212243024799,0,0.0717216780048044,-421.253503302948,-420.467550790181,1.57190502553328,0,FALSE
43,"td_baseline_positive_control",418,0.6,0.536945577509792,1.5,1.27631009629161,0.4,0.420701504336538,-504.279389070833,-411.382214338725,185.794349464218,0,FALSE
